SVL,Weight,HeadW,ShW,ThL,LoLegL,ThW,LLegW,Risk
13.785,0.175,4.785709738,4.422923885,6.0185,5.2595,2.07726087,1.224780488,null
13.931,0.175,4.83199558,4.535334546,5.572,4.854,2.151152659,1.3462528,null
13.989,0.175,4.718353158,4.419654516,5.3235,4.9145,2.260292105,1.324733521,null
14.188,0.175,4.860275362,4.965200218,5.238,4.8295,2.180438174,1.176580406,null
14.44,0.175,4.819048281,4.387427146,5.7415,5.2165,2.289093506,1.347024986,low
13.401,0.176,4.713304324,3.7197834,5.665,4.9555,2.143830118,1.361545613,null
13.561,0.176,5.009991296,4.076900699,5.0235,4.8105,2.506231914,1.222332065,null
13.813,0.176,4.46587608,4.167770695,5.7525,5.2185,2.180398906,1.399110948,null
13.898,0.176,4.727762458,4.134491303,5.2885,5.009,2.31239584,1.49906611,null
13.965,0.176,4.8386124,4.519598599,4.951,4.929,2.248928299,1.26849931,null
14.061,0.176,4.60268732,4.269743292,5.636,5.0125,2.183598658,1.393518832,null
14.632,0.176,5.04894594,4.553127761,5.805,5.006,2.415399252,1.443605329,low
13.649,0.177,5.095459511,4.1786922,5.553,5.1205,2.286198336,1.37104574,null
13.839,0.177,4.953184839,4.44049034,5.188,4.72,2.287529768,1.583901103,null
13.903,0.177,4.821351142,4.434714943,5.8315,5.13,2.093122751,1.306648149,null
13.939,0.177,4.747913784,4.598091454,5.183,4.597,2.286012519,1.49777653,null
13.986,0.177,4.689648398,4.26262912,5.2345,5.0255,2.312070924,1.484279165,null
13.99,0.177,4.475874579,4.83778512,5.1365,5.183,2.288842659,1.208090531,null
14.027,0.177,4.846383358,4.500695466,5.178,4.687,2.18352344,1.467323253,null
14.132,0.177,4.846039449,4.153441877,5.357,4.7705,2.222456093,1.358387687,null
14.224,0.177,4.665369077,4.63330403,5.5125,5.2045,2.15317583,1.350827948,low
14.447,0.177,4.971436511,4.556714135,5.0725,4.966,2.293760796,1.302187406,low
14.587,0.177,4.794504471,4.372063613,5.481,5.198,2.197717954,1.341491899,low
13.293,0.178,4.731220199,4.13574079,5.575,4.1735,2.309137626,1.666252384,null
13.294,0.178,4.945639549,4.256386094,5.7525,5.155,2.119487158,1.413835369,null
13.558,0.178,5.010179253,4.134337912,5.267,5.143,2.19406244,1.453880479,null
13.644,0.178,4.860389786,4.127786195,5.473,4.8015,2.231336307,1.478824032,null
13.907,0.178,5.040819529,4.291691884,5.767,5.242,2.278153184,1.244681358,null
13.914,0.178,4.807471647,4.09187593,5.3115,4.613,2.201250307,1.530793462,null
13.964,0.178,4.800026056,4.432053977,5.702,5.277,2.122866399,1.163602686,null
13.965,0.178,4.883443114,4.325964477,5.828,5.2005,2.107141781,1.45121264,null
14.026,0.178,4.687484649,4.217268156,5.6845,4.922,2.185534849,1.422768461,null
14.036,0.178,4.901380334,3.846860052,5.3275,5.3145,2.331502635,1.32235918,null
14.065,0.178,4.562845914,4.325320084,5.694,5.2,2.197933316,1.297710563,null
14.217,0.178,4.801154829,4.627041739,5.503,5.1345,2.262300082,1.339033528,low
14.236,0.178,4.70273643,4.19521411,6.063,5.2095,2.14182652,1.30051193,low
14.408,0.178,5.000657652,4.202211082,5.8175,5.2325,2.13133479,1.324221423,low
14.614,0.178,4.98937431,4.370216852,5.279,5.0025,2.190973398,1.44942976,low
13.55,0.179,4.90527946,4.203454668,5.5655,5.1785,2.267694964,1.263456502,null
13.618,0.179,4.796222134,4.263724954,5.004,4.789,2.333131723,1.44147011,null
13.72,0.179,5.118703363,4.578746149,5.847,5.187,2.22899811,1.227669124,null
13.722,0.179,4.504469747,4.090937366,5.6165,5.138,2.221522597,1.496645068,null
13.932,0.179,4.949616417,4.551448265,5.329,4.6425,2.143381093,1.362994217,null
14.104,0.179,4.750332005,4.332875806,5.355,4.7135,2.20871903,1.261914112,null
14.533,0.179,4.827031838,4.472680579,5.7635,4.9305,2.214535271,1.455115496,low
13.726,0.18,4.548315784,4.459463575,4.9815,4.6675,2.273640382,1.343797061,null
14.1,0.18,4.840126227,4.221201747,5.7695,5.174,2.24144492,1.2584081,null
14.292,0.18,5.047843116,4.063846366,5.6895,5.387,2.305504322,1.400709711,low
13.592,0.181,4.550881065,4.360109172,5.893,5.1705,2.046732511,1.569832875,null
13.768,0.181,4.845124579,4.481952404,5.72,4.7045,2.095348235,1.478275061,null
13.865,0.181,4.541652461,4.394938872,5.989,5.408,2.160112121,1.359599167,null
14.671,0.181,4.732614591,4.223045425,5.2595,5.1665,2.195969373,1.311364834,low
13.639,0.182,4.746641979,4.42508612,5.562,4.8575,2.224330818,1.4149826,null
13.972,0.182,4.751511395,4.658406631,5.41,5.364,2.115378666,1.232562285,null
14.094,0.182,4.801932149,4.571875685,5.3935,5.0205,2.266496041,1.330085787,null
14.159,0.182,4.566276376,4.451847072,4.8325,4.9055,2.416226267,1.394961907,null
14.241,0.182,4.957875703,4.381956591,5.519,4.87,2.360913629,1.51470941,low
14.354,0.182,4.92207964,4.460142915,5.5915,5.0425,2.401796634,1.502715028,low
14.654,0.182,4.955322398,4.695598992,5.835,5.2435,2.199818333,1.271839427,low
14.895,0.182,4.863649372,4.338800815,6.072,5.7615,2.300142084,1.247587681,med
14.042,0.183,4.962233972,4.599311046,5.4495,5.344,2.234771935,1.328963636,null
14.265,0.183,4.783111911,4.272379134,5.663,5.329,2.163514171,1.402336971,low
14.32,0.183,4.663822497,4.35455282,5.5955,5.0475,2.307796014,1.279885632,low
14.444,0.183,4.878341853,4.274386166,5.7525,5.0205,2.256033571,1.399359919,low
14.672,0.183,5.092986286,4.594968664,5.209,4.912,2.350099414,1.31432973,low
14.805,0.183,4.76703149,4.502675137,5.4515,4.9675,2.216364563,1.39741467,med
13.384,0.184,4.717262998,4.097249152,6.053,5.258,1.970341046,1.227349929,null
13.611,0.184,5.020577441,4.345841258,5.7885,5.334,2.207782737,1.349231146,null
